,id,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
32,70,4,89.0,71.00,1990.0,14.9,78,2,volkswagen
33,71,4,79.0,58.00,1755.0,16.9,81,3,toyota
34,72,4,121.0,110.0,2660.0,14.0,73,2,saab
35,75,4,71.0,65.00,1836.0,21.0,74,3,toyota
36,77,6,258.0,110.0,3730.0,19.0,75,1,amc
37,79,4,97.0,67.00,2145.0,18.0,80,3,subaru
38,80,4,120.0,75.00,2542.0,17.5,80,3,mazda
39,82,4,140.0,78.00,2592.0,18.5,75,1,pontiac
40,83,4,90.0,48.00,1985.0,21.5,78,2,volkswagen
41,84,4,135.0,84.00,2490.0,15.7,81,1,plymouth
42,86,6,232.0,112.0,2835.0,14.7,82,1,ford
43,87,6,232.0,100.0,2901.0,16.0,74,1,amc
44,88,4,122.0,86.00,2395.0,16.0,72,1,ford
45,91,4,140.0,83.00,2639.0,17.0,75,1,ford
46,93,8,350.0,165.0,4274.0,12.0,72,1,chevrolet
47,94,6,225.0,110.0,3360.0,16.6,79,1,dodge
48,95,4,81.0,60.00,1760.0,16.1,81,3,honda
49,98,4,91.0,67.00,1850.0,13.8,80,3,honda
50,99,4,116.0,81.00,2220.0,16.9,76,2,opel
51,104,6,250.0,100.0,3278.0,18.0,73,1,chevrolet
52,105,4,119.0,82.00,2720.0,19.4,82,1,chevrolet
53,109,4,112.0,85.00,2575.0,16.2,82,1,pontiac
54,110,4,140.0,92.00,2572.0,14.9,76,1,ford
55,111,4,119.0,97.00,2300.0,14.7,78,3,datsun
56,115,8,360.0,175.0,3821.0,11.0,73,1,amc
57,117,4,88.0,76.00,2065.0,14.5,71,2,fiat
58,118,8,304.0,193.0,4732.0,18.5,70,1,hi
59,119,4,108.0,70.00,2245.0,16.9,82,3,toyota
60,121,4,90.0,71.00,2223.0,16.5,75,2,volkswagen
61,123,4,121.0,110.0,2600.0,12.8,77,2,bmw
62,125,4,89.0,60.00,1968.0,18.8,80,3,toyota
63,127,8,351.0,148.0,4657.0,13.5,75,1,ford
64,128,4,120.0,97.00,2506.0,14.5,72,3,toyota
65,129,4,97.0,78.00,2188.0,15.8,80,2,audi
66,130,4,140.0,72.00,2408.0,19.0,71,1,chevrolet
67,131,8,350.0,170.0,4165.0,11.4,77,1,chevrolet
68,139,8,302.0,140.0,4141.0,14.0,74,1,ford
69,143,8,454.0,220.0,4354.0,9.0,70,1,chevrolet
70,147,4,98.0,79.00,2255.0,17.7,76,1,dodge
71,148,4,116.0,90.00,2123.0,14.0,71,2,opel
72,149,4,119.0,100.0,2615.0,14.8,81,3,datsun
73,151,4,135.0,84.00,2385.0,12.9,81,1,plymouth
74,152,6,181.0,110.0,2945.0,16.4,82,1,buick
75,157,8,429.0,198.0,4341.0,10.0,70,1,ford
76,160,4,120.0,88.00,2957.0,17.0,75,2,peugeot
77,161,8,302.0,140.0,4638.0,16.0,74,1,ford
78,163,6,146.0,120.0,2930.0,13.8,81,3,datsun
79,165,6,232.0,90.00,3211.0,17.0,75,1,amc
80,166,4,97.0,60.00,1834.0,19.0,71,2,volkswagen
81,169,8,318.0,150.0,3777.0,12.5,73,1,dodge
82,172,6,250.0,105.0,3353.0,14.5,76,1,chevrolet
83,174,8,307.0,130.0,3504.0,12.0,70,1,chevrolet
84,177,8,383.0,170.0,3563.0,10.0,70,1,dodge
85,178,4,86.0,64.00,1875.0,16.4,81,1,plymouth
86,180,4,79.0,67.00,1963.0,15.5,74,2,volkswagen
87,182,4,112.0,88.00,2395.0,18.0,82,1,chevrolet
88,183,4,122.0,86.00,2220.0,14.0,71,1,mercury
89,184,4,85.0,65.00,2020.0,19.2,79,3,datsun
90,185,4,90.0,70.00,1937.0,14.2,76,2,volkswagen
91,187,4,140.0,88.00,2870.0,18.1,80,1,ford
92,188,4,122.0,96.00,2300.0,15.5,77,1,plymouth
93,189,6,200.0,85.00,3070.0,16.7,78,1,mercury
94,192,4,98.0,65.00,2045.0,16.2,81,1,ford
95,193,8,351.0,138.0,3955.0,13.2,79,1,mercury
96,195,4,120.0,97.00,2489.0,15.0,74,3,honda
97,197,4,97.0,78.00,2190.0,14.1,77,2,volkswagen
98,201,4,105.0,70.00,2150.0,14.9,79,1,plymouth
99,202,8,318.0,150.0,4077.0,14.0,72,1,plymouth
100,203,4,85.0,65.00,1975.0,19.4,81,3,datsun
101,204,4,89.0,62.00,1845.0,15.3,80,2,volkswagen
102,205,4,91.0,70.00,1955.0,20.5,71,1,plymouth
103,207,4,140.0,90.00,2408.0,19.5,72,1,chevrolet
104,208,6,258.0,120.0,3410.0,15.1,78,1,amc
105,209,4,76.0,52.00,1649.0,16.5,74,3,toyota
106,211,8,318.0,145.0,4140.0,13.7,77,1,dodge
107,213,4,121.0,112.0,2868.0,15.5,73,2,volvo
108,217,6,250.0,105.0,3459.0,16.0,75,1,chevrolet
109,222,4,151.0,90.00,2670.0,16.0,79,1,buick
110,226,4,97.0,78.00,2300.0,14.5,74,2,opel
111,227,6,231.0,105.0,3380.0,15.8,78,1,buick
112,228,6,225.0,100.0,3651.0,17.7,76,1,dodge
113,234,4,100.0,?,2320.0,15.8,81,2,renault
114,237,6,146.0,97.00,2815.0,14.5,77,3,datsun
115,239,4,146.0,67.00,3250.0,21.8,80,2,mercedes-benz
116,240,6,258.0,95.00,3193.0,17.8,76,1,amc
117,242,4,85.0,70.00,1945.0,16.8,77,3,datsun
118,243,8,350.0,160.0,4456.0,13.5,72,1,oldsmobile
119,244,4,90.0,75.00,2108.0,15.5,74,2,fiat
120,247,8,318.0,150.0,3940.0,13.2,76,1,plymouth
121,248,4,140.0,72.00,2401.0,19.5,73,1,chevrolet
122,249,4,105.0,74.00,2190.0,14.2,81,2,volkswagen
123,251,4,98.0,76.00,2144.0,14.7,80,2,volkswagen
124,252,4,97.0,54.00,2254.0,23.5,72,2,volkswagen
125,255,8,351.0,149.0,4335.0,14.5,77,1,ford
126,256,4,121.0,112.0,2933.0,14.5,72,2,volvo
127,257,4,122.0,88.00,2500.0,15.1,80,2,triumph
128,258,6,231.0,110.0,3907.0,21.0,75,1,buick
129,262,6,173.0,110.0,2725.0,12.6,81,1,chevrolet
130,264,8,302.0,139.0,3205.0,11.2,78,1,ford
131,265,4,79.0,67.00,2000.0,16.0,74,2,fiat
132,266,8,350.0,145.0,4082.0,13.0,73,1,chevrolet
133,267,8,302.0,129.0,3725.0,13.4,79,1,ford
134,268,4,98.0,63.00,2051.0,17.0,77,1,chevrolet
135,270,5,121.0,67.00,2950.0,19.9,80,2,audi
136,272,6,156.0,122.0,2807.0,13.5,73,3,toyota
137,273,4,156.0,92.00,2620.0,14.4,81,1,dodge
138,275,6,225.0,90.00,3381.0,18.7,80,1,dodge
139,276,8,262.0,110.0,3221.0,13.5,75,1,chevrolet
140,277,4,105.0,63.00,2215.0,14.9,81,1,plymouth
141,278,8,307.0,200.0,4376.0,15.0,70,1,chevrolet
142,279,4,134.0,96.00,2702.0,13.5,75,3,toyota
143,283,4,105.0,70.00,2200.0,13.2,79,1,plymouth
144,285,4,97.0,46.00,1835.0,20.5,70,2,volkswagen
145,288,4,85.0,?,1835.0,17.3,80,2,renault
146,290,4,151.0,90.00,2678.0,16.5,80,1,chevrolet
147,291,6,231.0,110.0,3039.0,15.0,75,1,buick
148,292,8,318.0,140.0,4080.0,13.7,78,1,dodge
149,297,6,225.0,100.0,3233.0,15.4,76,1,plymouth
150,300,6,232.0,100.0,2789.0,15.0,73,1,amc
151,301,8,351.0,153.0,4154.0,13.5,71,1,ford
152,305,4,140.0,89.00,2755.0,15.8,77,1,ford
153,306,8,350.0,155.0,4502.0,13.5,72,1,buick
154,307,4,97.0,92.00,2288.0,17.0,72,3,datsun
155,311,4,71.0,65.00,1773.0,19.0,71,3,toyota
156,313,6,231.0,110.0,3415.0,15.8,81,1,buick
157,314,4,119.0,97.00,2405.0,14.9,78,3,datsun
158,315,4,83.0,61.00,2003.0,19.0,74,3,datsun
159,316,6,250.0,88.00,3139.0,14.5,71,1,ford
160,318,4,135.0,84.00,2295.0,11.6,82,1,dodge
161,321,4,144.0,96.00,2665.0,13.9,82,3,toyota
162,323,6,232.0,100.0,2914.0,16.0,75,1,amc
163,325,8,383.0,180.0,4955.0,11.5,71,1,dodge
164,329,6,225.0,110.0,3620.0,18.7,78,1,dodge
165,333,8,302.0,130.0,3870.0,15.0,76,1,ford
166,335,4,140.0,72.00,2565.0,13.6,76,1,ford
167,336,4,104.0,95.00,2375.0,17.5,70,2,saab
168,337,4,140.0,90.00,2264.0,15.5,71,1,chevrolet
169,338,4,98.0,68.00,2135.0,16.6,78,3,honda
170,339,8,440.0,215.0,4312.0,8.5,70,1,plymouth
171,340,3,80.0,110.0,2720.0,13.5,77,3,mazda
172,343,4,78.0,52.00,1985.0,19.4,78,3,mazda
173,344,4,107.0,75.00,2210.0,14.4,81,3,honda
174,345,8,390.0,190.0,3850.0,8.5,70,1,amc
175,349,4,98.0,?,2046.0,19.0,71,1,ford
176,351,4,134.0,90.00,2711.0,15.5,80,3,toyota
177,353,8,260.0,90.00,3420.0,22.2,79,1,oldsmobile
178,354,8,318.0,140.0,3735.0,13.2,78,1,dodge
179,355,4,140.0,88.00,2720.0,15.4,78,1,ford
180,359,4,72.0,69.00,1613.0,18.0,71,3,datsun
181,360,6,231.0,115.0,3245.0,15.4,79,1,pontiac
182,364,8,305.0,145.0,3880.0,12.5,77,1,chevrolet
183,366,6,231.0,165.0,3445.0,13.4,78,1,buick
184,367,8,400.0,150.0,4997.0,14.0,73,1,chevrolet
185,368,6,232.0,100.0,3288.0,15.5,71,1,amc
186,370,4,151.0,90.00,2950.0,17.3,82,1,chevrolet
187,373,8,318.0,150.0,4135.0,13.5,72,1,plymouth
188,375,4,113.0,95.00,2278.0,15.5,72,3,toyota
189,377,4,105.0,74.00,1980.0,15.3,82,2,volkswagen
190,380,4,121.0,80.00,2670.0,15.0,79,1,amc
191,381,6,199.0,97.00,2774.0,15.5,70,1,amc
192,382,8,400.0,150.0,4464.0,12.0,73,1,chevrolet
193,383,6,232.0,100.0,2634.0,13.0,71,1,amc
194,384,4,85.0,65.00,2110.0,19.2,80,3,datsun
195,385,8,302.0,139.0,3570.0,12.8,78,1,mercury
196,387,8,304.0,150.0,3433.0,12.0,70,1,amc
197,395,4,90.0,48.00,2335.0,23.7,80,2,volkswagen
198,396,4,98.0,90.00,2265.0,15.5,73,2,fiat
